nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
1427,905,371,144,3870,13868,2559,4544,0,53,0,568,2025-05-12T00:00:00.000Z
1580,927,387,162,4170,8183,3942,7540,0,111,5,1964,2025-05-12T01:00:00.000Z
1601,912,387,183,4273,1599,4628,8906,0,173,9,6554,2025-05-12T02:00:00.000Z
1722,960,387,227,4355,19,5088,9325,0,212,10,6747,2025-05-12T03:00:00.000Z
1818,975,387,234,4539,0,5089,10084,0,65,8,5309,2025-05-12T04:00:00.000Z
1850,966,388,253,4208,0,5170,10584,0,101,9,3290,2025-05-12T05:00:00.000Z
1927,969,389,274,4068,0,5157,10775,0,93,0,1313,2025-05-12T06:00:00.000Z
1911,946,388,323,4925,0,4760,9156,0,137,0,125,2025-05-12T07:00:00.000Z
1948,974,387,322,5042,0,4539,8378,0,132,0,256,2025-05-12T08:00:00.000Z
1971,999,387,306,4973,0,4352,7698,0,138,0,82,2025-05-12T09:00:00.000Z
1925,974,379,290,4678,0,4263,7581,0,135,0,32,2025-05-12T10:00:00.000Z
1931,984,387,282,4667,0,4435,8061,0,132,0,152,2025-05-12T11:00:00.000Z
1867,997,389,222,4791,412,4281,7764,0,102,0,1590,2025-05-12T12:00:00.000Z
1871,1032,375,219,4266,3052,4097,7428,0,83,0,1475,2025-05-12T13:00:00.000Z
1639,951,339,156,3671,11155,3100,4703,0,69,0,72,2025-05-12T14:00:00.000Z
1316,912,316,117,3383,14624,2178,3122,0,54,0,14,2025-05-12T15:00:00.000Z
1200,841,296,105,3344,14851,1732,2367,0,49,0,18,2025-05-12T16:00:00.000Z
1118,797,284,80,3111,14927,1615,2076,0,45,0,8,2025-05-12T17:00:00.000Z
1089,756,278,72,3309,14831,1367,2004,0,43,0,12,2025-05-12T18:00:00.000Z
1058,724,272,68,3469,14377,1211,1742,0,41,0,7,2025-05-12T19:00:00.000Z
1050,696,272,70,3433,13764,898,1577,0,38,0,12,2025-05-12T20:00:00.000Z
1072,715,285,69,3663,13818,817,1638,0,39,0,32,2025-05-12T21:00:00.000Z
1076,718,288,77,3701,13989,835,1712,0,41,0,35,2025-05-12T22:00:00.000Z
1162,749,305,99,4136,13924,1071,2448,0,44,0,48,2025-05-12T23:00:00.000Z
1158,862,340,125,5377,10234,2524,3020,0,66,0,235,2025-05-13T00:00:00.000Z
1338,850,360,152,5276,6421,4209,5219,0,144,6,1070,2025-05-13T01:00:00.000Z
1384,818,364,192,5009,1281,5158,5678,0,221,12,5488,2025-05-13T02:00:00.000Z
1497,868,365,238,5097,3,5304,6071,0,241,11,6718,2025-05-13T03:00:00.000Z
1597,889,366,240,5492,0,5220,6521,0,73,8,5638,2025-05-13T04:00:00.000Z
1637,902,368,231,5840,0,5286,6333,0,95,6,3771,2025-05-13T05:00:00.000Z
1725,881,369,244,6129,0,5067,6440,0,90,0,1733,2025-05-13T06:00:00.000Z
1727,896,372,301,6031,0,5107,5622,0,147,0,914,2025-05-13T07:00:00.000Z
1775,911,372,305,6006,0,4992,5318,0,141,0,465,2025-05-13T08:00:00.000Z
1800,929,369,292,5822,0,4612,4693,0,147,0,275,2025-05-13T09:00:00.000Z
1789,930,372,282,5331,0,4450,4645,0,147,0,353,2025-05-13T10:00:00.000Z
1746,920,374,264,4887,8,4862,4575,0,141,0,735,2025-05-13T11:00:00.000Z
1674,931,366,221,4758,172,4824,4256,0,121,0,3072,2025-05-13T12:00:00.000Z
1646,969,360,233,4730,2934,4369,4312,0,109,0,2541,2025-05-13T13:00:00.000Z
1407,990,334,171,4094,11251,2687,2914,0,87,0,295,2025-05-13T14:00:00.000Z
