nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,0,3721,238,4584,180,38,0,0,0,31,2025-05-12T00:00:00.000Z
0,0,0,3583,189,4807,149,37,0,0,0,5,2025-05-12T01:00:00.000Z
0,0,1,3385,139,4823,145,37,0,0,0,19,2025-05-12T02:00:00.000Z
0,0,1,3449,107,4727,126,37,0,0,0,8,2025-05-12T03:00:00.000Z
0,0,0,3903,116,4101,230,38,0,0,0,3,2025-05-12T04:00:00.000Z
0,0,0,4608,121,3159,448,157,0,0,0,1,2025-05-12T05:00:00.000Z
0,0,0,5353,215,1465,658,476,0,0,0,5,2025-05-12T06:00:00.000Z
0,0,0,5719,388,76,1768,861,0,0,0,221,2025-05-12T07:00:00.000Z
0,0,0,5818,573,0,2034,889,0,0,0,176,2025-05-12T08:00:00.000Z
0,0,0,5826,779,0,910,1074,0,0,0,0,2025-05-12T09:00:00.000Z
0,0,0,5739,853,0,775,831,0,0,0,1,2025-05-12T10:00:00.000Z
0,0,0,5652,901,0,498,598,0,0,0,0,2025-05-12T11:00:00.000Z
0,0,0,5593,878,0,455,440,0,0,0,0,2025-05-12T12:00:00.000Z
0,0,0,5586,959,0,452,415,0,0,0,0,2025-05-12T13:00:00.000Z
0,0,0,5451,949,0,452,293,0,0,0,0,2025-05-12T14:00:00.000Z
0,0,0,5141,864,0,452,42,0,0,0,0,2025-05-12T15:00:00.000Z
0,0,0,5038,836,0,453,43,0,0,0,0,2025-05-12T16:00:00.000Z
0,0,0,4930,878,0,447,42,0,0,0,0,2025-05-12T17:00:00.000Z
0,0,0,5040,885,0,450,42,0,0,0,0,2025-05-12T18:00:00.000Z
0,0,0,5259,894,0,452,42,0,0,0,0,2025-05-12T19:00:00.000Z
0,0,0,5444,834,13,459,189,0,0,0,84,2025-05-12T20:00:00.000Z
0,0,0,5446,791,491,496,371,0,0,0,227,2025-05-12T21:00:00.000Z
0,0,0,5432,789,507,497,370,0,0,0,226,2025-05-12T22:00:00.000Z
0,0,0,4486,606,2016,445,361,0,0,0,225,2025-05-12T23:00:00.000Z
0,0,19,3850,415,4212,106,39,0,0,0,0,2025-05-13T00:00:00.000Z
0,0,18,3639,275,4551,72,37,0,0,0,0,2025-05-13T01:00:00.000Z
0,0,16,3663,180,4443,69,37,0,0,0,0,2025-05-13T02:00:00.000Z
0,0,17,3749,123,4136,197,37,0,0,0,0,2025-05-13T03:00:00.000Z
0,0,17,4054,86,3563,1728,42,0,0,0,3,2025-05-13T04:00:00.000Z
0,0,3,4620,101,2911,977,145,0,0,0,0,2025-05-13T05:00:00.000Z
0,0,0,5166,184,1349,1443,731,0,0,0,106,2025-05-13T06:00:00.000Z
0,0,0,5289,266,52,1852,1005,0,0,0,254,2025-05-13T07:00:00.000Z
0,0,0,5404,477,0,1967,975,0,0,0,110,2025-05-13T08:00:00.000Z
