nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
6698,0,0,2931,0,110,1704,10767,0,39,902,0,2025-05-12T00:00:00.000Z
6728,0,0,2933,0,0,1540,10509,0,42,624,0,2025-05-12T01:00:00.000Z
6805,0,0,2889,0,0,1127,9634,0,43,212,0,2025-05-12T02:00:00.000Z
6781,0,0,2673,0,0,906,8034,0,45,24,0,2025-05-12T03:00:00.000Z
6659,0,0,2431,1,0,744,7293,0,45,1,0,2025-05-12T04:00:00.000Z
6468,0,0,2224,0,0,684,6753,0,44,0,0,2025-05-12T05:00:00.000Z
6338,0,0,1976,0,0,641,6437,0,44,0,0,2025-05-12T06:00:00.000Z
6261,0,0,1821,0,0,609,6260,0,43,0,0,2025-05-12T07:00:00.000Z
6234,0,0,1807,0,0,644,6274,0,43,0,0,2025-05-12T08:00:00.000Z
6399,0,0,1946,0,0,655,6675,0,44,0,0,2025-05-12T09:00:00.000Z
6649,0,0,2412,0,102,721,7302,0,42,0,0,2025-05-12T10:00:00.000Z
6715,0,0,2619,0,296,690,7615,5,43,6,0,2025-05-12T11:00:00.000Z
6617,0,0,2456,0,947,672,7187,0,45,0,0,2025-05-12T12:00:00.000Z
6605,0,0,2296,0,1420,649,7167,0,46,0,0,2025-05-12T13:00:00.000Z
6603,0,0,2408,0,1678,627,7323,3,40,0,0,2025-05-12T14:00:00.000Z
6624,0,0,2467,0,1908,680,7610,3,53,0,0,2025-05-12T15:00:00.000Z
6672,0,0,2596,0,1900,745,8139,4,46,7,0,2025-05-12T16:00:00.000Z
6530,0,0,2677,0,1874,1059,8787,3,45,12,0,2025-05-12T17:00:00.000Z
6569,0,0,2737,0,1893,1172,9330,0,45,20,0,2025-05-12T18:00:00.000Z
6562,0,0,2748,0,1790,1327,9859,0,44,106,0,2025-05-12T19:00:00.000Z
6570,0,0,2857,0,1657,1516,10163,0,43,310,0,2025-05-12T20:00:00.000Z
6602,0,0,2870,0,1337,1742,10456,0,43,467,0,2025-05-12T21:00:00.000Z
6584,0,0,2831,0,929,1872,10628,0,40,731,0,2025-05-12T22:00:00.000Z
6625,0,0,2889,0,361,1834,10996,0,36,899,0,2025-05-12T23:00:00.000Z
6295,0,0,3583,0,402,1905,13846,0,51,667,58,2025-05-13T00:00:00.000Z
6312,0,0,3583,0,0,1759,13628,0,54,409,53,2025-05-13T01:00:00.000Z
6338,0,0,3556,0,0,1459,12756,0,56,16,24,2025-05-13T02:00:00.000Z
6375,0,0,3363,1,0,1124,11118,0,56,1,21,2025-05-13T03:00:00.000Z
6217,0,0,3148,4,0,998,10313,0,55,0,19,2025-05-13T04:00:00.000Z
6088,0,0,2892,3,0,941,9844,0,54,0,20,2025-05-13T05:00:00.000Z
5998,0,0,2612,3,0,900,9573,0,53,0,4,2025-05-13T06:00:00.000Z
5923,0,0,2473,2,0,869,9415,0,53,0,0,2025-05-13T07:00:00.000Z
5894,0,0,2460,2,0,919,9429,0,53,0,3,2025-05-13T08:00:00.000Z
6002,0,0,2603,2,0,939,9871,0,53,0,17,2025-05-13T09:00:00.000Z
6170,0,0,3081,2,386,988,10619,0,54,0,42,2025-05-13T10:00:00.000Z
6235,0,0,3307,0,568,943,10965,4,55,0,38,2025-05-13T11:00:00.000Z
6164,0,0,3165,0,1180,926,10567,0,55,0,25,2025-05-13T12:00:00.000Z
6157,0,0,2984,0,1656,911,10532,0,58,0,22,2025-05-13T13:00:00.000Z
6151,0,0,3088,0,1917,897,10664,3,53,0,33,2025-05-13T14:00:00.000Z
6161,0,0,3149,0,2141,950,10970,2,65,0,25,2025-05-13T15:00:00.000Z
6190,0,0,3288,1,2141,1009,11510,3,59,1,39,2025-05-13T16:00:00.000Z
6055,0,0,3340,1,2146,1333,12129,2,57,1,50,2025-05-13T17:00:00.000Z
6081,0,0,3403,1,2144,1447,12653,0,57,1,49,2025-05-13T18:00:00.000Z
6097,0,0,3402,1,2067,1613,13163,0,56,2,46,2025-05-13T19:00:00.000Z
6136,0,0,3520,1,1957,1794,13537,0,56,74,52,2025-05-13T20:00:00.000Z
6164,0,0,3550,1,1661,1998,13806,0,56,247,48,2025-05-13T21:00:00.000Z
6154,0,0,3516,0,1257,2110,13964,0,53,485,38,2025-05-13T22:00:00.000Z
6189,0,0,3633,0,675,2062,14368,0,50,633,57,2025-05-13T23:00:00.000Z
6318,0,0,3724,1,465,2042,13631,0,39,955,44,2025-05-14T00:00:00.000Z
6333,0,0,3713,1,0,1897,13404,0,41,706,35,2025-05-14T01:00:00.000Z
6339,0,0,3677,1,0,1672,12540,0,42,256,8,2025-05-14T02:00:00.000Z
6353,0,0,3514,4,0,1517,10958,0,43,27,0,2025-05-14T03:00:00.000Z
6246,0,0,3317,9,0,1365,10130,0,43,0,0,2025-05-14T04:00:00.000Z
6070,0,0,2984,7,0,1366,9726,0,41,0,1,2025-05-14T05:00:00.000Z
5968,0,0,2662,7,0,1310,9498,0,41,0,0,2025-05-14T06:00:00.000Z
5912,0,0,2535,6,0,1269,9317,0,41,0,0,2025-05-14T07:00:00.000Z
5909,0,0,2528,6,0,1303,9343,0,41,0,0,2025-05-14T08:00:00.000Z
6001,0,0,2657,6,0,1338,9796,0,42,0,1,2025-05-14T09:00:00.000Z
6164,0,0,3126,5,453,1405,10523,0,43,2,23,2025-05-14T10:00:00.000Z
6208,0,0,3369,2,652,1365,10810,8,43,18,19,2025-05-14T11:00:00.000Z
6166,0,0,3230,1,1320,1324,10346,0,44,15,6,2025-05-14T12:00:00.000Z
6160,0,0,3040,1,1790,1306,10335,0,46,6,5,2025-05-14T13:00:00.000Z
6160,0,0,3165,1,2025,1291,10568,3,41,4,15,2025-05-14T14:00:00.000Z
6137,0,0,3263,2,2228,1365,10867,2,52,11,11,2025-05-14T15:00:00.000Z
6165,0,0,3398,3,2231,1446,11374,3,46,20,16,2025-05-14T16:00:00.000Z
6163,0,0,3500,4,2232,1539,12000,2,46,22,33,2025-05-14T17:00:00.000Z
6202,0,0,3591,4,2228,1650,12580,0,46,28,33,2025-05-14T18:00:00.000Z
6178,0,0,3557,4,2167,1799,13041,0,45,198,27,2025-05-14T19:00:00.000Z
6193,0,0,3652,4,2039,1971,13331,0,44,409,32,2025-05-14T20:00:00.000Z
6204,0,0,3681,4,1745,2150,13526,0,43,565,29,2025-05-14T21:00:00.000Z
6195,0,0,3652,3,1351,2249,13678,0,41,788,21,2025-05-14T22:00:00.000Z
6222,0,0,3782,2,759,2206,14040,0,37,938,41,2025-05-14T23:00:00.000Z
