nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
154,0,116,197,1060,0,70,1358,47,7,2,0,2025-05-12T00:00:00.000Z
159,0,115,183,1111,0,62,1277,43,7,2,0,2025-05-12T01:00:00.000Z
163,0,117,167,1129,0,59,1183,40,7,2,0,2025-05-12T02:00:00.000Z
137,0,110,171,1175,0,55,1198,41,6,2,0,2025-05-12T03:00:00.000Z
49,0,88,200,1113,0,36,1339,47,3,1,0,2025-05-12T04:00:00.000Z
41,0,100,234,1187,1,40,1564,55,4,1,0,2025-05-12T05:00:00.000Z
120,0,148,266,1218,23,66,1877,63,13,4,0,2025-05-12T06:00:00.000Z
120,0,159,299,1078,53,67,2101,71,22,1,0,2025-05-12T07:00:00.000Z
118,0,154,283,1120,88,61,1990,67,23,0,0,2025-05-12T08:00:00.000Z
127,0,152,269,1136,145,58,1895,64,13,0,0,2025-05-12T09:00:00.000Z
165,0,162,253,1112,242,59,1801,60,19,0,0,2025-05-12T10:00:00.000Z
200,0,173,257,1048,330,64,1838,61,21,0,0,2025-05-12T11:00:00.000Z
198,0,168,266,900,344,66,1881,63,16,0,0,2025-05-12T12:00:00.000Z
200,0,172,270,734,331,69,1909,64,17,0,0,2025-05-12T13:00:00.000Z
204,0,177,283,636,297,75,2005,67,17,0,0,2025-05-12T14:00:00.000Z
206,0,180,302,602,252,87,2150,72,19,0,0,2025-05-12T15:00:00.000Z
200,0,187,330,601,199,96,2380,78,19,2,0,2025-05-12T16:00:00.000Z
198,0,184,329,627,135,100,2426,78,24,7,0,2025-05-12T17:00:00.000Z
204,0,199,321,649,82,104,2386,77,32,8,0,2025-05-12T18:00:00.000Z
214,0,200,296,756,35,103,2239,72,34,8,0,2025-05-12T19:00:00.000Z
229,0,195,266,917,5,103,2057,65,16,7,0,2025-05-12T20:00:00.000Z
249,0,185,232,982,0,88,1825,56,15,7,0,2025-05-12T21:00:00.000Z
248,0,185,233,982,0,91,1823,56,15,7,0,2025-05-12T22:00:00.000Z
266,0,189,218,1003,0,92,1691,53,15,5,0,2025-05-12T23:00:00.000Z
204,0,136,187,1006,0,68,1356,45,7,4,0,2025-05-13T00:00:00.000Z
206,0,138,181,1032,0,65,1320,43,6,3,0,2025-05-13T01:00:00.000Z
161,0,122,190,993,0,57,1352,45,6,2,0,2025-05-13T02:00:00.000Z
158,0,124,185,1023,0,63,1312,44,5,3,0,2025-05-13T03:00:00.000Z
144,0,110,176,1052,0,57,1276,42,5,4,0,2025-05-13T04:00:00.000Z
142,0,121,199,970,4,61,1457,47,9,5,0,2025-05-13T05:00:00.000Z
183,0,168,251,847,39,82,1874,60,23,5,0,2025-05-13T06:00:00.000Z
216,0,197,289,659,104,95,2166,69,41,5,0,2025-05-13T07:00:00.000Z
211,0,193,292,588,183,88,2160,69,35,0,0,2025-05-13T08:00:00.000Z
145,0,165,288,735,189,66,2013,68,18,0,0,2025-05-13T09:00:00.000Z
110,0,141,281,943,181,55,1909,67,12,0,0,2025-05-13T10:00:00.000Z
105,0,122,244,1193,197,49,1658,58,10,0,0,2025-05-13T11:00:00.000Z
105,0,106,215,1339,202,45,1463,51,10,0,0,2025-05-13T12:00:00.000Z
109,0,107,216,1405,201,47,1466,51,10,0,0,2025-05-13T13:00:00.000Z
112,0,105,208,1593,184,49,1422,49,10,0,0,2025-05-13T14:00:00.000Z
114,0,107,199,1689,154,50,1373,47,14,0,0,2025-05-13T15:00:00.000Z
113,0,113,200,1639,118,51,1409,47,15,2,0,2025-05-13T16:00:00.000Z
137,0,128,209,1507,97,61,1536,50,16,4,0,2025-05-13T17:00:00.000Z
194,0,158,236,1255,87,85,1787,56,30,6,0,2025-05-13T18:00:00.000Z
