nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
5773,0,0,1225,0,7,574,1570,0,13,1385,0,2025-05-12T00:00:00.000Z
5826,0,0,1208,0,0,468,1340,0,13,1135,0,2025-05-12T01:00:00.000Z
5888,0,0,1073,0,0,300,1058,0,13,659,0,2025-05-12T02:00:00.000Z
5936,0,0,912,0,0,182,733,0,13,206,0,2025-05-12T03:00:00.000Z
5761,0,0,706,0,0,127,582,0,14,0,0,2025-05-12T04:00:00.000Z
5535,0,0,582,0,0,115,452,0,13,0,0,2025-05-12T05:00:00.000Z
5390,0,0,510,0,0,113,378,0,14,0,0,2025-05-12T06:00:00.000Z
5306,0,0,484,0,0,112,361,0,14,0,0,2025-05-12T07:00:00.000Z
5356,0,0,493,0,0,116,393,0,15,0,0,2025-05-12T08:00:00.000Z
5571,0,0,604,0,0,138,518,0,14,0,0,2025-05-12T09:00:00.000Z
5906,0,0,828,0,12,203,726,0,14,0,0,2025-05-12T10:00:00.000Z
6122,0,0,934,0,139,224,738,0,16,56,0,2025-05-12T11:00:00.000Z
6312,0,0,865,0,407,238,644,0,39,0,0,2025-05-12T12:00:00.000Z
6402,0,0,798,0,678,223,607,0,50,0,0,2025-05-12T13:00:00.000Z
6500,0,0,780,0,874,212,659,1,52,0,0,2025-05-12T14:00:00.000Z
6639,0,0,864,0,953,221,753,0,52,0,0,2025-05-12T15:00:00.000Z
6709,0,0,999,0,951,236,878,0,51,67,0,2025-05-12T16:00:00.000Z
6708,0,0,1077,0,1014,291,1089,0,49,156,0,2025-05-12T17:00:00.000Z
6637,0,0,1130,0,877,380,1380,0,44,256,0,2025-05-12T18:00:00.000Z
6491,0,0,1222,0,722,460,1548,0,29,440,0,2025-05-12T19:00:00.000Z
6369,0,0,1356,0,580,582,1556,0,17,682,0,2025-05-12T20:00:00.000Z
6177,0,0,1406,0,408,723,1578,0,16,895,0,2025-05-12T21:00:00.000Z
5937,0,0,1365,0,224,695,1531,0,15,1250,0,2025-05-12T22:00:00.000Z
5770,0,0,1284,0,55,667,1436,0,15,1458,0,2025-05-12T23:00:00.000Z
5824,0,0,1962,0,26,385,2353,0,12,956,0,2025-05-13T00:00:00.000Z
5873,0,0,1957,0,0,296,2156,0,12,695,0,2025-05-13T01:00:00.000Z
5953,0,0,1850,0,0,138,1914,0,11,171,0,2025-05-13T02:00:00.000Z
5821,0,0,1645,0,0,23,1578,0,11,0,0,2025-05-13T03:00:00.000Z
5564,0,0,1417,0,0,16,1390,0,11,0,0,2025-05-13T04:00:00.000Z
5378,0,0,1289,0,0,12,1241,0,11,0,0,2025-05-13T05:00:00.000Z
5260,0,0,1212,0,0,12,1163,0,12,0,0,2025-05-13T06:00:00.000Z
5201,0,0,1183,0,0,12,1138,0,12,0,0,2025-05-13T07:00:00.000Z
5238,0,0,1201,0,0,14,1185,0,12,0,0,2025-05-13T08:00:00.000Z
5404,0,0,1330,0,0,29,1328,0,12,0,0,2025-05-13T09:00:00.000Z
5723,0,0,1599,0,31,40,1562,0,12,0,0,2025-05-13T10:00:00.000Z
5952,0,0,1767,0,135,44,1628,0,13,0,0,2025-05-13T11:00:00.000Z
6100,0,0,1763,0,313,62,1591,0,23,0,0,2025-05-13T12:00:00.000Z
6221,0,0,1727,0,513,53,1601,0,47,0,0,2025-05-13T13:00:00.000Z
6331,0,0,1727,0,669,51,1666,1,54,0,0,2025-05-13T14:00:00.000Z
6438,0,0,1809,0,735,54,1766,0,53,0,0,2025-05-13T15:00:00.000Z
6520,0,0,1936,0,749,54,1883,0,48,0,0,2025-05-13T16:00:00.000Z
6544,0,0,2016,0,815,101,2110,0,39,0,0,2025-05-13T17:00:00.000Z
6529,0,0,2071,0,707,191,2374,0,29,0,0,2025-05-13T18:00:00.000Z
6481,0,0,2153,0,618,261,2520,0,16,0,0,2025-05-13T19:00:00.000Z
6391,0,0,2246,0,536,365,2541,0,15,163,0,2025-05-13T20:00:00.000Z
6212,0,0,2261,0,380,498,2533,0,15,406,0,2025-05-13T21:00:00.000Z
5987,0,0,2191,0,218,475,2454,0,14,760,0,2025-05-13T22:00:00.000Z
5830,0,0,2093,0,69,449,2342,0,13,962,0,2025-05-13T23:00:00.000Z
6171,0,0,2390,0,64,651,2937,0,12,1651,0,2025-05-14T00:00:00.000Z
6235,0,0,2394,0,0,573,2746,0,12,1363,0,2025-05-14T01:00:00.000Z
