nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,0,2415,2079,1578,229,787,0,85,0,0,2025-05-12T00:00:00.000Z
0,0,0,2891,2025,958,236,942,2,85,0,0,2025-05-12T01:00:00.000Z
0,0,0,3381,1850,591,229,990,1,83,0,0,2025-05-12T02:00:00.000Z
1,0,0,3483,1648,0,226,965,0,81,0,0,2025-05-12T03:00:00.000Z
1,0,0,3390,1553,0,220,910,0,80,0,0,2025-05-12T04:00:00.000Z
1,0,0,3298,1458,0,212,794,1,76,0,0,2025-05-12T05:00:00.000Z
0,0,0,3172,1420,0,200,706,1,77,0,0,2025-05-12T06:00:00.000Z
0,0,0,3119,1398,0,196,643,1,77,0,0,2025-05-12T07:00:00.000Z
1,0,0,3053,1380,0,206,645,1,77,0,0,2025-05-12T08:00:00.000Z
1,0,0,3040,1323,0,223,659,2,79,0,0,2025-05-12T09:00:00.000Z
1,0,0,3104,1291,0,230,662,2,80,0,0,2025-05-12T10:00:00.000Z
1,0,0,3226,1303,1,241,681,3,80,0,0,2025-05-12T11:00:00.000Z
1,0,0,3446,1319,592,262,763,4,82,0,0,2025-05-12T12:00:00.000Z
0,0,0,3270,1258,1118,229,698,1,83,0,0,2025-05-12T13:00:00.000Z
1,0,0,2834,1329,1914,245,396,0,89,0,0,2025-05-12T14:00:00.000Z
22,0,0,2509,1438,2261,245,356,0,86,0,1,2025-05-12T15:00:00.000Z
28,0,0,2317,1558,2399,241,351,0,85,0,2,2025-05-12T16:00:00.000Z
35,1,0,2121,1626,2528,242,360,0,87,0,2,2025-05-12T17:00:00.000Z
29,0,0,2106,1707,2489,236,353,0,83,0,2,2025-05-12T18:00:00.000Z
23,1,0,2151,1703,2480,238,363,0,84,0,1,2025-05-12T19:00:00.000Z
25,1,0,2197,1715,2464,244,371,0,84,0,2,2025-05-12T20:00:00.000Z
22,1,0,2296,1663,2407,249,405,0,87,0,5,2025-05-12T21:00:00.000Z
18,1,0,2390,1723,2346,238,421,0,85,0,4,2025-05-12T22:00:00.000Z
12,0,0,2387,1810,2198,234,567,0,84,0,3,2025-05-12T23:00:00.000Z
2,0,0,1962,2124,1946,289,748,0,81,0,0,2025-05-13T00:00:00.000Z
1,0,0,2459,2068,1310,290,903,0,81,0,0,2025-05-13T01:00:00.000Z
1,0,0,2922,1916,931,297,946,0,80,0,0,2025-05-13T02:00:00.000Z
1,0,0,3013,1712,0,304,912,0,78,0,1,2025-05-13T03:00:00.000Z
