nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
3853,0,0,7421,3770,6246,285,29253,0,1,0,0,2025-05-12T00:00:00.000Z
3854,0,0,7720,3791,215,278,31455,0,1,0,0,2025-05-12T01:00:00.000Z
3852,0,0,7769,4289,0,194,31852,0,1,0,0,2025-05-12T02:00:00.000Z
3853,0,0,7763,4951,0,156,31068,0,1,0,0,2025-05-12T03:00:00.000Z
3854,0,0,7813,5789,0,142,28598,0,1,0,0,2025-05-12T04:00:00.000Z
3845,0,0,7761,6778,0,138,25094,0,0,0,0,2025-05-12T05:00:00.000Z
3843,0,0,7686,7157,0,138,23270,0,0,0,0,2025-05-12T06:00:00.000Z
3844,0,0,7507,7383,0,138,21805,0,0,0,0,2025-05-12T07:00:00.000Z
3842,0,0,7438,6921,0,138,21521,0,0,0,0,2025-05-12T08:00:00.000Z
3844,0,0,7519,6518,0,138,22152,0,0,0,0,2025-05-12T09:00:00.000Z
3845,0,0,7687,6026,0,138,23518,0,0,0,0,2025-05-12T10:00:00.000Z
3844,0,0,7451,6274,187,140,24815,0,0,0,0,2025-05-12T11:00:00.000Z
3837,0,0,6901,6771,7613,136,20157,0,0,0,0,2025-05-12T12:00:00.000Z
3835,0,0,5324,5354,21403,136,12531,0,0,0,0,2025-05-12T13:00:00.000Z
3832,0,0,4398,4165,26112,136,11804,0,0,0,0,2025-05-12T14:00:00.000Z
3829,0,0,4138,4940,26720,138,11446,0,0,0,0,2025-05-12T15:00:00.000Z
3828,0,0,4255,5012,26462,136,12907,0,0,0,0,2025-05-12T16:00:00.000Z
3824,0,0,4810,4867,26008,136,15167,0,0,0,0,2025-05-12T17:00:00.000Z
3831,0,0,5460,4843,25808,136,17084,0,1,0,0,2025-05-12T18:00:00.000Z
3835,0,0,6002,4979,25335,136,19208,0,1,0,0,2025-05-12T19:00:00.000Z
3834,0,0,6959,5166,24622,136,21402,0,0,0,0,2025-05-12T20:00:00.000Z
3834,0,0,7199,6032,24127,162,23104,0,23,0,0,2025-05-12T21:00:00.000Z
3837,0,0,7205,6036,24146,162,23122,0,23,0,0,2025-05-12T22:00:00.000Z
3837,0,0,7444,5677,21068,203,25330,0,23,0,0,2025-05-12T23:00:00.000Z
3848,0,0,7787,9204,5574,286,32622,0,76,0,0,2025-05-13T00:00:00.000Z
3847,0,0,7918,13696,176,276,32317,0,63,0,0,2025-05-13T01:00:00.000Z
3846,0,0,7599,19744,0,193,26900,0,51,0,0,2025-05-13T02:00:00.000Z
3841,0,0,6333,23957,1,156,21120,0,51,0,0,2025-05-13T03:00:00.000Z
3841,0,0,5466,25364,1,141,16668,0,50,0,0,2025-05-13T04:00:00.000Z
3833,0,0,5066,25708,1,139,13448,0,50,0,0,2025-05-13T05:00:00.000Z
3831,0,0,4649,25827,1,144,12312,0,50,0,0,2025-05-13T06:00:00.000Z
3834,0,0,4127,25390,1,146,11939,0,50,0,0,2025-05-13T07:00:00.000Z
3835,0,0,4036,24919,1,146,11840,0,50,0,0,2025-05-13T08:00:00.000Z
3837,0,0,3962,24343,1,148,11813,0,50,0,0,2025-05-13T09:00:00.000Z
3839,0,0,4184,25000,1,150,12339,0,50,0,0,2025-05-13T10:00:00.000Z
3840,0,0,4977,24691,194,152,13450,0,50,0,0,2025-05-13T11:00:00.000Z
3835,0,0,4774,22692,5940,148,11693,0,50,0,0,2025-05-13T12:00:00.000Z
3826,0,0,4021,18353,14985,141,10209,0,50,0,0,2025-05-13T13:00:00.000Z
3814,0,0,4087,15850,19362,141,10556,0,50,0,0,2025-05-13T14:00:00.000Z
3820,0,0,4698,14908,21390,142,11263,0,50,0,0,2025-05-13T15:00:00.000Z
3822,0,0,5021,15421,21673,141,12910,0,50,0,0,2025-05-13T16:00:00.000Z
3825,0,0,5593,16791,21185,140,14849,0,50,0,0,2025-05-13T17:00:00.000Z
3832,0,0,6189,16282,22096,135,17213,0,50,0,0,2025-05-13T18:00:00.000Z
3837,0,0,6568,15934,22787,135,19674,0,50,0,0,2025-05-13T19:00:00.000Z
3839,0,0,7237,16229,22463,136,21671,0,50,0,0,2025-05-13T20:00:00.000Z
3843,0,0,7684,17498,20715,138,23898,0,50,0,0,2025-05-13T21:00:00.000Z
3843,0,0,7684,17498,20713,138,23896,0,50,0,0,2025-05-13T22:00:00.000Z
3843,0,0,7970,17280,17220,178,26299,0,51,0,0,2025-05-13T23:00:00.000Z
3838,0,0,9558,17837,4205,276,33089,0,50,0,0,2025-05-14T00:00:00.000Z
3832,0,0,9702,17939,109,253,33398,0,51,0,0,2025-05-14T01:00:00.000Z
3813,0,0,9605,18723,0,207,31867,0,50,0,0,2025-05-14T02:00:00.000Z
3814,0,0,8448,20101,0,164,28639,0,50,0,0,2025-05-14T03:00:00.000Z
3816,0,0,7193,21384,0,143,24661,0,50,0,0,2025-05-14T04:00:00.000Z
3816,0,0,6922,21726,0,142,21437,0,50,0,0,2025-05-14T05:00:00.000Z
3817,0,0,6428,22032,1,142,19051,0,50,0,0,2025-05-14T06:00:00.000Z
3818,0,0,6210,21560,1,160,18087,0,50,0,0,2025-05-14T07:00:00.000Z
3819,0,0,5763,21804,0,162,17393,0,50,0,0,2025-05-14T08:00:00.000Z
3819,0,0,5480,21749,0,161,17366,0,50,0,0,2025-05-14T09:00:00.000Z
3819,0,0,5816,21969,0,160,18127,0,50,0,0,2025-05-14T10:00:00.000Z
3819,0,0,6882,21812,104,147,18735,0,50,0,0,2025-05-14T11:00:00.000Z
3820,0,0,7269,20291,3340,146,17781,0,50,0,0,2025-05-14T12:00:00.000Z
3803,0,0,5962,17352,11521,135,16479,0,50,0,0,2025-05-14T13:00:00.000Z
3798,0,0,5402,13916,18218,134,16562,0,50,0,0,2025-05-14T14:00:00.000Z
3795,0,0,5704,12162,20422,135,18456,0,50,0,0,2025-05-14T15:00:00.000Z
3797,0,0,6308,12794,20876,153,20304,0,50,0,0,2025-05-14T16:00:00.000Z
3796,0,0,6654,13462,22336,135,21449,0,50,0,0,2025-05-14T17:00:00.000Z
3796,0,0,7638,13620,22150,135,23644,0,50,0,0,2025-05-14T18:00:00.000Z
3795,0,0,7756,15139,21277,134,26105,0,50,0,0,2025-05-14T19:00:00.000Z
3794,0,0,7842,15954,20350,135,27695,0,50,0,0,2025-05-14T20:00:00.000Z
3801,0,0,8195,17131,19706,134,28324,0,50,0,0,2025-05-14T21:00:00.000Z
3800,0,0,8193,17128,19702,134,28320,0,50,0,0,2025-05-14T22:00:00.000Z
3800,0,0,8520,16910,16137,176,30710,0,51,0,0,2025-05-14T23:00:00.000Z
