nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
5129,0,0,4223,140,134,2300,5271,0,26,1429,1,2025-05-12T00:00:00.000Z
5150,0,0,4176,111,43,2129,5239,0,26,1524,0,2025-05-12T01:00:00.000Z
5195,0,0,4165,137,0,1704,4936,0,26,1321,0,2025-05-12T02:00:00.000Z
5157,0,0,4098,200,0,1447,4458,0,25,978,0,2025-05-12T03:00:00.000Z
5085,0,0,4028,278,0,1265,4099,0,26,541,0,2025-05-12T04:00:00.000Z
5138,0,0,3970,257,0,1129,3961,0,23,150,0,2025-05-12T05:00:00.000Z
5094,0,0,3894,241,0,1062,3712,0,24,0,0,2025-05-12T06:00:00.000Z
4999,0,0,3836,248,0,1054,3618,0,24,0,0,2025-05-12T07:00:00.000Z
4988,0,0,3899,254,0,1056,3653,0,24,0,0,2025-05-12T08:00:00.000Z
5016,0,0,3987,249,0,1085,4034,0,25,0,0,2025-05-12T09:00:00.000Z
5082,0,0,4174,234,62,1251,4544,0,24,0,0,2025-05-12T10:00:00.000Z
5125,0,0,4273,157,172,1380,4752,0,24,395,0,2025-05-12T11:00:00.000Z
5152,0,0,4313,119,358,1417,4664,0,24,637,0,2025-05-12T12:00:00.000Z
5088,0,0,4299,112,537,1404,4496,0,24,743,0,2025-05-12T13:00:00.000Z
5056,0,0,4320,139,686,1433,4413,0,25,721,0,2025-05-12T14:00:00.000Z
5094,0,0,4416,163,776,1548,4455,0,25,786,0,2025-05-12T15:00:00.000Z
5080,0,0,4441,180,855,1744,4462,0,26,854,0,2025-05-12T16:00:00.000Z
5103,0,0,4490,183,856,1943,4517,0,26,954,0,2025-05-12T17:00:00.000Z
5127,0,0,4509,191,869,2060,4604,0,25,900,0,2025-05-12T18:00:00.000Z
5128,0,0,4509,188,818,2212,4787,0,24,832,0,2025-05-12T19:00:00.000Z
5114,0,0,4519,179,723,2314,4944,0,22,876,0,2025-05-12T20:00:00.000Z
5066,0,0,4472,171,641,2353,4891,0,24,1064,0,2025-05-12T21:00:00.000Z
5043,0,0,4341,137,480,2322,4947,0,23,1220,0,2025-05-12T22:00:00.000Z
5001,0,0,4211,130,284,2210,4879,0,23,1371,0,2025-05-12T23:00:00.000Z
4301,0,0,4315,95,165,3183,6811,0,26,662,1,2025-05-13T00:00:00.000Z
4315,0,0,4271,76,23,3033,6767,0,26,743,1,2025-05-13T01:00:00.000Z
4318,0,0,4250,89,0,2643,6454,0,27,529,0,2025-05-13T02:00:00.000Z
4280,0,0,4177,125,0,2361,6007,0,25,190,0,2025-05-13T03:00:00.000Z
4172,0,0,4012,185,0,2136,5631,0,25,0,0,2025-05-13T04:00:00.000Z
4093,0,0,3863,176,0,1954,5347,0,23,0,0,2025-05-13T05:00:00.000Z
4015,0,0,3756,163,0,1856,5070,0,23,0,0,2025-05-13T06:00:00.000Z
3944,0,0,3705,171,0,1829,4958,0,23,0,0,2025-05-13T07:00:00.000Z
3940,0,0,3760,178,0,1830,5021,0,23,0,0,2025-05-13T08:00:00.000Z
3976,0,0,3844,172,0,1867,5404,0,24,0,0,2025-05-13T09:00:00.000Z
4043,0,0,4014,163,112,2038,5913,0,23,0,0,2025-05-13T10:00:00.000Z
4175,0,0,4236,113,190,2273,6214,0,23,0,0,2025-05-13T11:00:00.000Z
4251,0,0,4336,81,365,2372,6233,0,24,0,0,2025-05-13T12:00:00.000Z
4241,0,0,4362,71,532,2377,6119,0,24,0,0,2025-05-13T13:00:00.000Z
4219,0,0,4388,92,653,2422,6052,0,24,0,0,2025-05-13T14:00:00.000Z
4277,0,0,4497,111,732,2556,6162,0,25,5,0,2025-05-13T15:00:00.000Z
4274,0,0,4522,123,806,2752,6223,0,25,62,0,2025-05-13T16:00:00.000Z
