nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
46,5,0,48,225,878,8,86,0,6,0,94,2025-05-12T00:00:00.000Z
39,4,0,44,140,465,9,135,0,6,0,511,2025-05-12T01:00:00.000Z
38,4,0,45,107,10,8,141,0,5,0,583,2025-05-12T02:00:00.000Z
23,5,0,39,125,0,7,110,0,4,0,541,2025-05-12T03:00:00.000Z
9,4,0,25,209,0,5,80,0,4,0,434,2025-05-12T04:00:00.000Z
49,5,0,48,288,0,10,169,0,5,0,84,2025-05-12T05:00:00.000Z
48,5,0,38,241,0,10,166,0,6,0,79,2025-05-12T06:00:00.000Z
62,5,0,47,156,0,12,156,0,6,0,66,2025-05-12T07:00:00.000Z
67,5,0,51,105,0,14,169,0,6,0,96,2025-05-12T08:00:00.000Z
65,6,0,50,96,0,16,185,0,6,0,99,2025-05-12T09:00:00.000Z
74,6,0,54,94,0,18,203,0,6,0,106,2025-05-12T10:00:00.000Z
91,6,0,62,92,5,22,254,0,7,0,112,2025-05-12T11:00:00.000Z
94,6,0,61,86,461,22,251,0,9,0,117,2025-05-12T12:00:00.000Z
18,6,0,46,48,933,8,59,0,6,0,175,2025-05-12T13:00:00.000Z
2,5,0,46,33,1381,9,30,0,4,0,0,2025-05-12T14:00:00.000Z
14,5,0,45,28,1400,10,51,0,4,0,0,2025-05-12T15:00:00.000Z
8,4,0,32,24,1439,8,38,0,4,0,0,2025-05-12T16:00:00.000Z
11,4,0,30,25,1431,8,34,0,3,0,0,2025-05-12T17:00:00.000Z
18,4,0,28,31,1405,8,40,0,4,0,1,2025-05-12T18:00:00.000Z
3,4,0,23,25,1377,5,12,0,4,0,0,2025-05-12T19:00:00.000Z
12,4,0,21,25,1382,5,23,0,3,0,1,2025-05-12T20:00:00.000Z
21,4,0,21,30,1398,7,38,0,4,0,4,2025-05-12T21:00:00.000Z
31,4,0,18,31,1317,7,54,0,4,0,6,2025-05-12T22:00:00.000Z
31,4,0,20,45,1185,8,73,0,6,0,74,2025-05-12T23:00:00.000Z
0,4,0,93,865,1066,6,81,0,7,0,0,2025-05-13T00:00:00.000Z
0,4,0,102,794,737,12,122,0,8,0,356,2025-05-13T01:00:00.000Z
0,4,0,84,720,16,7,115,0,6,0,368,2025-05-13T02:00:00.000Z
0,3,0,76,681,0,5,110,0,6,0,331,2025-05-13T03:00:00.000Z
0,3,0,67,685,0,5,103,0,6,0,252,2025-05-13T04:00:00.000Z
0,4,0,112,836,0,17,123,0,8,0,0,2025-05-13T05:00:00.000Z
0,4,0,101,790,0,15,122,0,8,0,0,2025-05-13T06:00:00.000Z
3,4,0,106,783,0,19,102,0,10,0,0,2025-05-13T07:00:00.000Z
6,4,0,105,732,0,20,111,0,10,0,4,2025-05-13T08:00:00.000Z
3,5,0,86,729,0,14,109,0,9,0,5,2025-05-13T09:00:00.000Z
9,4,0,86,719,0,14,119,0,9,0,8,2025-05-13T10:00:00.000Z
24,5,0,109,740,28,20,151,0,7,0,10,2025-05-13T11:00:00.000Z
29,5,0,116,821,774,19,163,0,9,0,10,2025-05-13T12:00:00.000Z
0,5,0,88,673,1079,5,71,0,7,0,61,2025-05-13T13:00:00.000Z
0,4,0,79,546,1286,4,42,0,4,0,0,2025-05-13T14:00:00.000Z
0,4,0,76,513,1315,4,39,0,4,0,0,2025-05-13T15:00:00.000Z
0,3,0,68,495,1326,4,33,0,4,0,0,2025-05-13T16:00:00.000Z
0,3,0,69,508,1350,3,28,0,4,0,0,2025-05-13T17:00:00.000Z
0,3,0,72,518,1388,4,33,0,4,0,0,2025-05-13T18:00:00.000Z
0,3,0,70,575,1357,4,30,0,4,0,0,2025-05-13T19:00:00.000Z
0,3,0,70,610,1356,4,28,0,4,0,0,2025-05-13T20:00:00.000Z
0,3,0,72,643,1370,4,31,0,4,0,0,2025-05-13T21:00:00.000Z
0,3,0,73,709,1368,4,52,0,4,0,0,2025-05-13T22:00:00.000Z
0,3,0,73,758,1282,5,69,0,6,0,0,2025-05-13T23:00:00.000Z
1,4,0,94,668,1195,26,68,0,2,0,0,2025-05-14T00:00:00.000Z
1,4,0,114,623,887,35,106,0,1,0,311,2025-05-14T01:00:00.000Z
1,4,0,108,656,820,33,114,0,0,0,351,2025-05-14T02:00:00.000Z
0,3,0,66,464,0,17,80,0,0,0,235,2025-05-14T03:00:00.000Z
0,3,0,55,439,0,14,72,0,0,0,173,2025-05-14T04:00:00.000Z
0,3,0,86,527,0,24,83,0,0,0,0,2025-05-14T05:00:00.000Z
0,3,0,76,477,0,20,78,0,0,0,0,2025-05-14T06:00:00.000Z
0,3,0,77,479,0,23,65,0,0,0,0,2025-05-14T07:00:00.000Z
0,3,0,75,431,0,22,62,0,0,0,0,2025-05-14T08:00:00.000Z
0,3,0,62,406,0,18,59,0,0,0,0,2025-05-14T09:00:00.000Z
0,4,0,66,427,0,19,60,0,0,0,0,2025-05-14T10:00:00.000Z
1,4,0,80,487,27,27,73,0,0,0,0,2025-05-14T11:00:00.000Z
1,6,0,101,654,942,33,89,0,2,0,3,2025-05-14T12:00:00.000Z
