nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,0,0,244,0,781,1,0,4,0,0,2025-05-12T00:00:00.000Z
0,0,0,0,189,0,661,1,0,3,0,0,2025-05-12T01:00:00.000Z
0,0,0,0,182,0,669,1,0,3,0,0,2025-05-12T02:00:00.000Z
0,0,0,0,212,0,831,1,0,4,0,0,2025-05-12T03:00:00.000Z
0,0,0,0,187,0,811,1,0,3,0,0,2025-05-12T04:00:00.000Z
0,0,0,0,138,1,877,1,0,4,0,0,2025-05-12T05:00:00.000Z
0,0,0,0,86,1,877,1,0,4,0,0,2025-05-12T06:00:00.000Z
0,0,0,0,86,2,886,1,0,5,0,0,2025-05-12T07:00:00.000Z
0,0,0,0,114,2,961,1,0,6,0,0,2025-05-12T08:00:00.000Z
0,0,0,0,107,2,920,1,0,5,0,0,2025-05-12T09:00:00.000Z
0,0,0,0,109,2,927,1,0,6,0,0,2025-05-12T10:00:00.000Z
0,0,0,0,100,2,853,1,0,4,0,0,2025-05-12T11:00:00.000Z
0,0,0,0,108,2,889,0,0,5,0,0,2025-05-12T12:00:00.000Z
0,0,0,0,104,1,899,0,0,4,0,0,2025-05-12T13:00:00.000Z
0,0,0,0,121,1,992,1,0,5,0,0,2025-05-12T14:00:00.000Z
0,0,0,0,110,1,973,1,0,3,0,0,2025-05-12T15:00:00.000Z
0,0,0,0,126,0,990,0,0,3,0,0,2025-05-12T16:00:00.000Z
0,0,0,0,104,0,892,0,0,2,0,0,2025-05-12T17:00:00.000Z
0,0,0,0,105,0,926,0,0,2,0,0,2025-05-12T18:00:00.000Z
0,0,0,0,103,0,894,0,0,2,0,0,2025-05-12T19:00:00.000Z
0,0,0,0,157,0,1084,0,0,2,0,0,2025-05-12T20:00:00.000Z
0,0,0,0,253,0,1269,0,0,3,0,0,2025-05-12T21:00:00.000Z
0,0,0,0,199,0,1173,0,0,2,0,0,2025-05-12T22:00:00.000Z
0,0,0,0,217,0,1201,0,0,2,0,0,2025-05-12T23:00:00.000Z
3,0,1,0,146,0,576,1,0,3,0,0,2025-05-13T00:00:00.000Z
61,0,15,1,200,0,565,2,0,9,0,0,2025-05-13T01:00:00.000Z
68,0,17,2,250,1,598,2,0,10,0,0,2025-05-13T02:00:00.000Z
1,0,0,0,278,0,716,2,0,6,0,0,2025-05-13T03:00:00.000Z
0,0,0,0,243,1,790,0,0,4,0,0,2025-05-13T04:00:00.000Z
0,0,0,0,131,1,895,0,0,3,0,0,2025-05-13T05:00:00.000Z
0,0,0,0,123,1,824,1,0,4,0,0,2025-05-13T06:00:00.000Z
0,0,0,0,131,2,823,1,0,4,0,0,2025-05-13T07:00:00.000Z
0,0,0,0,198,2,1044,1,0,5,0,0,2025-05-13T08:00:00.000Z
0,0,0,0,243,3,814,1,0,5,0,0,2025-05-13T09:00:00.000Z
0,0,0,0,300,3,687,1,0,5,0,0,2025-05-13T10:00:00.000Z
0,0,0,0,454,4,548,0,0,6,0,0,2025-05-13T11:00:00.000Z
0,0,0,0,596,4,631,0,0,5,0,0,2025-05-13T12:00:00.000Z
0,0,0,0,605,2,585,0,0,4,0,0,2025-05-13T13:00:00.000Z
0,0,0,0,811,1,710,1,0,5,0,0,2025-05-13T14:00:00.000Z
0,0,0,0,564,1,661,2,0,6,0,0,2025-05-13T15:00:00.000Z
0,0,0,0,444,0,543,1,0,5,0,0,2025-05-13T16:00:00.000Z
0,0,0,0,556,0,695,2,0,7,0,0,2025-05-13T17:00:00.000Z
0,0,0,0,450,0,549,1,0,4,0,0,2025-05-13T18:00:00.000Z
0,0,0,0,423,0,549,1,0,4,0,0,2025-05-13T19:00:00.000Z
0,0,0,0,470,0,736,1,0,5,0,0,2025-05-13T20:00:00.000Z
0,0,0,0,499,0,751,1,0,5,0,0,2025-05-13T21:00:00.000Z
1,0,0,0,1116,0,811,2,0,6,0,0,2025-05-13T22:00:00.000Z
1,0,0,0,1174,0,810,2,0,7,0,0,2025-05-13T23:00:00.000Z
27,0,8,1,567,0,327,0,0,5,0,0,2025-05-14T00:00:00.000Z
35,0,11,1,475,0,375,1,0,6,0,0,2025-05-14T01:00:00.000Z
28,0,9,1,475,0,436,1,0,6,0,0,2025-05-14T02:00:00.000Z
0,0,0,0,499,0,443,1,0,5,0,0,2025-05-14T03:00:00.000Z
0,0,0,0,330,0,522,1,0,5,0,0,2025-05-14T04:00:00.000Z
0,0,0,0,583,1,576,1,0,6,0,0,2025-05-14T05:00:00.000Z
0,0,0,0,561,2,542,1,0,7,0,0,2025-05-14T06:00:00.000Z
0,0,0,0,548,2,465,1,0,6,0,0,2025-05-14T07:00:00.000Z
0,0,0,0,840,2,401,0,0,6,0,0,2025-05-14T08:00:00.000Z
