nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
28783,0,0,14230,2549,273,5111,34352,198,784,115,12,2025-05-12T00:00:00.000Z
28699,0,0,14306,3270,18,4523,33522,199,772,111,0,2025-05-12T01:00:00.000Z
28719,0,0,13980,3912,17,2595,31089,199,720,72,0,2025-05-12T02:00:00.000Z
28589,0,0,13218,3992,17,1500,27708,199,687,35,0,2025-05-12T03:00:00.000Z
29143,0,0,12513,4324,17,1428,25233,199,702,15,0,2025-05-12T04:00:00.000Z
29022,0,0,11358,4649,17,1417,24266,202,695,4,0,2025-05-12T05:00:00.000Z
28651,0,0,10627,4691,17,1407,23391,203,684,0,0,2025-05-12T06:00:00.000Z
28683,0,0,10739,4657,17,1407,22969,201,677,0,0,2025-05-12T07:00:00.000Z
28475,0,0,10832,4528,16,1399,23817,201,671,0,0,2025-05-12T08:00:00.000Z
28581,0,0,11427,4444,17,1410,25712,203,694,0,0,2025-05-12T09:00:00.000Z
29009,0,0,12430,4319,146,1663,27947,205,802,0,0,2025-05-12T10:00:00.000Z
29191,0,0,13194,3978,1414,1725,29637,203,832,16,0,2025-05-12T11:00:00.000Z
29346,0,0,13848,2884,3519,1666,30605,204,834,22,0,2025-05-12T12:00:00.000Z
29383,0,0,13827,1996,5257,1491,30640,211,741,32,0,2025-05-12T13:00:00.000Z
29376,0,0,14196,1616,6000,1524,31655,205,798,38,0,2025-05-12T14:00:00.000Z
29193,0,0,15145,1593,5708,1506,31808,202,786,33,10,2025-05-12T15:00:00.000Z
29356,0,0,15744,1963,5503,1740,31479,216,976,35,1,2025-05-12T16:00:00.000Z
29252,0,0,15909,2199,5464,1972,32481,212,1003,35,0,2025-05-12T17:00:00.000Z
28975,0,0,16070,2928,4697,2356,33692,218,1047,32,0,2025-05-12T18:00:00.000Z
28964,0,0,15981,3920,3588,2380,34861,232,1047,39,0,2025-05-12T19:00:00.000Z
29096,0,0,16058,4520,2916,3252,35566,244,1015,52,12,2025-05-12T20:00:00.000Z
29158,0,0,16110,4523,2911,3281,35628,244,1016,77,12,2025-05-12T21:00:00.000Z
29233,0,0,15981,4496,948,3838,36591,364,1061,106,13,2025-05-12T22:00:00.000Z
28858,0,0,18706,4985,23,3130,37169,109,1543,143,10,2025-05-12T23:00:00.000Z
28896,0,0,16410,2746,154,4790,39899,226,1190,75,11,2025-05-13T00:00:00.000Z
28756,0,0,16592,2659,32,4557,38217,217,1255,72,0,2025-05-13T01:00:00.000Z
28868,0,0,16537,2487,30,2673,35866,222,1185,36,0,2025-05-13T02:00:00.000Z
28741,0,0,16129,2248,30,1597,32804,217,1090,10,0,2025-05-13T03:00:00.000Z
28931,0,0,15177,2057,30,1522,30477,200,1084,0,0,2025-05-13T04:00:00.000Z
28823,0,0,13734,2221,30,1495,29024,201,990,0,0,2025-05-13T05:00:00.000Z
28597,0,0,12919,2357,30,1479,28362,201,838,0,0,2025-05-13T06:00:00.000Z
28579,0,0,12637,2632,30,1488,27289,202,842,0,0,2025-05-13T07:00:00.000Z
28593,0,0,12567,2670,30,1478,27797,203,880,0,0,2025-05-13T08:00:00.000Z
28816,0,0,13153,2448,30,1477,30353,205,992,0,0,2025-05-13T09:00:00.000Z
29097,0,0,14364,2191,53,1555,33159,204,1123,0,0,2025-05-13T10:00:00.000Z
29168,0,0,14980,2040,430,1586,35498,332,1221,0,0,2025-05-13T11:00:00.000Z
29097,0,0,15892,1766,1025,1607,36697,371,1291,0,0,2025-05-13T12:00:00.000Z
29036,0,0,16519,1487,1567,1650,37073,332,1282,0,7,2025-05-13T13:00:00.000Z
29014,0,0,16729,1233,2129,2218,37500,299,1269,0,7,2025-05-13T14:00:00.000Z
29209,0,0,16340,1213,3061,2469,37030,295,1303,0,0,2025-05-13T15:00:00.000Z
29242,0,0,16334,1272,3417,2544,37423,294,1392,4,0,2025-05-13T16:00:00.000Z
29111,0,0,16299,1454,3978,2481,37410,333,1458,7,0,2025-05-13T17:00:00.000Z
29174,0,0,15992,1622,4807,2461,36874,343,1532,6,0,2025-05-13T18:00:00.000Z
29206,0,0,15538,1887,5395,2832,36175,321,1456,8,0,2025-05-13T19:00:00.000Z
29033,0,0,15622,1949,5020,3454,36596,362,1428,13,2,2025-05-13T20:00:00.000Z
29049,0,0,15651,1948,5012,3481,36621,361,1429,32,2,2025-05-13T21:00:00.000Z
29110,0,0,15504,1894,3214,3982,37568,470,1472,55,5,2025-05-13T22:00:00.000Z
28704,0,0,17872,2300,53,3290,37981,288,1968,80,1,2025-05-13T23:00:00.000Z
29202,0,0,17163,2101,148,5056,39667,349,1248,116,9,2025-05-14T00:00:00.000Z
29076,0,0,17275,2119,27,4110,38964,341,1256,114,0,2025-05-14T01:00:00.000Z
28954,0,0,16973,1846,21,2650,36840,268,1136,62,0,2025-05-14T02:00:00.000Z
29134,0,0,16330,1839,21,1839,33363,194,1112,19,0,2025-05-14T03:00:00.000Z
29655,0,0,15407,1835,21,1778,30577,196,1124,0,0,2025-05-14T04:00:00.000Z
29902,0,0,13939,1760,21,1761,29882,200,1056,0,0,2025-05-14T05:00:00.000Z
29543,0,0,13107,1756,21,1741,29210,202,1019,0,0,2025-05-14T06:00:00.000Z
29432,0,0,12680,1632,21,1747,28480,199,960,0,0,2025-05-14T07:00:00.000Z
29577,0,0,12402,1437,21,1759,28313,201,953,0,0,2025-05-14T08:00:00.000Z
29359,0,0,12895,1237,21,1751,30050,202,1009,0,0,2025-05-14T09:00:00.000Z
29550,0,0,14536,1102,129,1801,32500,204,1079,2,0,2025-05-14T10:00:00.000Z
29838,0,0,15488,1019,1040,1832,34139,339,1092,19,0,2025-05-14T11:00:00.000Z
29635,0,0,15894,802,2369,1847,35526,379,1122,17,0,2025-05-14T12:00:00.000Z
29530,0,0,15917,681,3841,1840,36269,401,1117,7,0,2025-05-14T13:00:00.000Z
29399,0,0,15994,597,5104,1817,36999,309,1195,4,0,2025-05-14T14:00:00.000Z
29389,0,0,15712,620,6768,1858,36589,302,1171,11,0,2025-05-14T15:00:00.000Z
29335,0,0,16134,679,7219,2294,36804,297,1223,18,0,2025-05-14T16:00:00.000Z
29338,0,0,16397,857,6791,2763,37339,429,1234,19,0,2025-05-14T17:00:00.000Z
29305,0,0,17025,1024,5357,3543,38469,458,1356,23,1,2025-05-14T18:00:00.000Z
29571,0,0,17419,1273,3928,3913,39421,417,1310,32,0,2025-05-14T19:00:00.000Z
29776,0,0,17609,1131,4187,4534,39626,408,1207,41,0,2025-05-14T20:00:00.000Z
29807,0,0,17621,1131,4172,4562,39667,408,1209,61,0,2025-05-14T21:00:00.000Z
29777,0,0,17499,1038,2341,5007,40576,507,1239,87,4,2025-05-14T22:00:00.000Z
29277,0,0,19516,1595,79,4266,40721,374,1704,117,0,2025-05-14T23:00:00.000Z
