nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
156,0,94,59,1034,1,794,65,6,20,43,0,2025-05-12T00:00:00.000Z
145,0,87,57,1109,1,607,63,7,19,27,0,2025-05-12T01:00:00.000Z
157,0,110,67,1185,1,469,78,8,23,17,0,2025-05-12T02:00:00.000Z
245,0,139,33,1235,16,456,125,6,22,19,0,2025-05-12T03:00:00.000Z
149,0,169,139,1383,194,227,172,12,19,77,0,2025-05-12T04:00:00.000Z
54,0,177,132,1024,714,313,162,13,8,82,0,2025-05-12T05:00:00.000Z
52,0,164,138,845,1437,87,151,17,12,23,0,2025-05-12T06:00:00.000Z
20,0,149,131,706,1960,29,129,16,6,0,0,2025-05-12T07:00:00.000Z
9,0,153,140,688,2461,33,132,18,7,0,0,2025-05-12T08:00:00.000Z
0,0,144,133,516,2731,26,134,19,8,0,0,2025-05-12T09:00:00.000Z
0,0,164,150,461,2837,35,154,19,10,0,0,2025-05-12T10:00:00.000Z
0,0,153,143,487,2826,31,145,19,9,0,0,2025-05-12T11:00:00.000Z
0,0,157,143,470,2774,30,145,20,9,0,0,2025-05-12T12:00:00.000Z
0,0,158,141,597,2506,30,144,19,9,0,0,2025-05-12T13:00:00.000Z
8,0,146,129,557,2187,29,136,16,9,0,0,2025-05-12T14:00:00.000Z
19,0,149,135,597,1834,29,183,15,9,0,0,2025-05-12T15:00:00.000Z
58,0,217,121,644,1319,92,296,14,17,9,0,2025-05-12T16:00:00.000Z
122,0,372,86,575,579,405,390,9,24,33,0,2025-05-12T17:00:00.000Z
188,0,431,38,486,151,719,394,7,33,29,0,2025-05-12T18:00:00.000Z
207,0,395,41,547,13,749,466,7,39,32,0,2025-05-12T19:00:00.000Z
203,0,412,36,434,1,983,255,6,32,37,0,2025-05-12T20:00:00.000Z
206,0,388,113,529,0,911,127,8,27,39,0,2025-05-12T21:00:00.000Z
207,0,385,102,795,3,937,120,7,27,41,0,2025-05-12T22:00:00.000Z
208,0,377,106,765,3,865,121,7,27,34,0,2025-05-12T23:00:00.000Z
166,0,289,37,404,0,1040,184,5,28,38,0,2025-05-13T00:00:00.000Z
168,0,251,34,430,0,971,166,5,27,37,0,2025-05-13T01:00:00.000Z
151,0,273,27,498,0,856,203,4,26,33,0,2025-05-13T02:00:00.000Z
149,0,295,23,579,13,714,281,4,26,24,0,2025-05-13T03:00:00.000Z
148,0,313,27,655,129,720,312,5,27,31,0,2025-05-13T04:00:00.000Z
131,0,326,39,689,480,773,157,7,21,39,0,2025-05-13T05:00:00.000Z
144,0,343,58,735,949,512,74,11,20,18,0,2025-05-13T06:00:00.000Z
94,0,141,71,993,1390,179,74,14,15,4,0,2025-05-13T07:00:00.000Z
61,0,73,82,1269,1730,73,80,16,10,0,0,2025-05-13T08:00:00.000Z
11,0,164,148,854,2243,38,117,12,7,0,0,2025-05-13T09:00:00.000Z
0,0,149,149,899,2416,36,116,12,8,0,0,2025-05-13T10:00:00.000Z
0,0,147,146,988,2330,35,114,13,8,0,0,2025-05-13T11:00:00.000Z
0,0,145,139,1030,2219,32,114,11,8,0,0,2025-05-13T12:00:00.000Z
2,0,158,149,1076,2133,34,127,11,8,0,0,2025-05-13T13:00:00.000Z
2,0,79,51,1546,1617,6,90,7,4,0,0,2025-05-13T14:00:00.000Z
22,0,111,53,1654,1057,45,80,10,6,0,0,2025-05-13T15:00:00.000Z
84,0,181,42,1474,570,368,90,8,13,16,0,2025-05-13T16:00:00.000Z
73,0,224,34,1235,206,689,96,7,10,41,0,2025-05-13T17:00:00.000Z
