nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
1,3,0,15,429,232,1632,78,1,53,0,12,2025-05-12T00:00:00.000Z
0,2,0,15,425,77,1853,69,0,51,0,13,2025-05-12T01:00:00.000Z
0,2,0,23,428,4,2032,69,1,51,0,11,2025-05-12T02:00:00.000Z
0,2,0,37,466,0,2025,77,1,50,0,11,2025-05-12T03:00:00.000Z
0,3,0,46,476,0,1930,82,1,50,0,6,2025-05-12T04:00:00.000Z
0,2,0,33,441,0,1815,73,1,50,0,2,2025-05-12T05:00:00.000Z
0,1,0,18,423,0,1705,60,1,51,0,1,2025-05-12T06:00:00.000Z
0,1,0,18,395,0,1621,57,1,49,0,1,2025-05-12T07:00:00.000Z
0,1,0,18,391,0,1572,55,0,50,0,1,2025-05-12T08:00:00.000Z
0,1,0,16,401,0,1537,55,0,50,0,1,2025-05-12T09:00:00.000Z
1,2,0,14,403,0,1546,55,0,50,0,1,2025-05-12T10:00:00.000Z
0,1,0,10,405,0,1622,52,1,54,0,1,2025-05-12T11:00:00.000Z
0,0,0,3,402,1,1826,42,1,51,0,0,2025-05-12T12:00:00.000Z
1,2,0,17,405,8,1967,61,0,49,0,4,2025-05-12T13:00:00.000Z
3,4,1,22,394,123,1836,78,0,48,0,1,2025-05-12T14:00:00.000Z
4,5,1,15,371,281,1667,89,0,47,0,0,2025-05-12T15:00:00.000Z
4,4,1,17,380,331,1550,87,0,47,0,0,2025-05-12T16:00:00.000Z
5,5,1,11,384,347,1485,89,0,45,0,0,2025-05-12T17:00:00.000Z
6,4,1,9,390,352,1453,87,1,46,0,0,2025-05-12T18:00:00.000Z
6,5,1,11,404,367,1424,92,1,45,0,0,2025-05-12T19:00:00.000Z
6,5,2,8,403,345,1465,88,1,47,0,0,2025-05-12T20:00:00.000Z
6,5,2,10,404,335,1479,90,1,48,0,0,2025-05-12T21:00:00.000Z
5,4,1,13,422,311,1514,89,0,48,0,1,2025-05-12T22:00:00.000Z
4,4,1,15,448,263,1583,90,1,49,0,4,2025-05-12T23:00:00.000Z
2,2,0,18,569,295,1174,73,0,38,0,0,2025-05-13T00:00:00.000Z
0,1,0,18,567,153,1379,63,0,34,0,0,2025-05-13T01:00:00.000Z
0,1,0,28,574,9,1534,63,0,34,0,0,2025-05-13T02:00:00.000Z
0,2,0,44,606,0,1544,70,0,34,0,0,2025-05-13T03:00:00.000Z
0,2,0,51,604,0,1461,76,0,35,0,0,2025-05-13T04:00:00.000Z
0,2,0,41,580,0,1331,67,0,32,0,0,2025-05-13T05:00:00.000Z
0,2,0,29,560,0,1222,54,0,34,0,0,2025-05-13T06:00:00.000Z
0,2,0,30,543,0,1162,53,0,31,0,0,2025-05-13T07:00:00.000Z
0,2,0,29,535,0,1118,52,0,32,0,0,2025-05-13T08:00:00.000Z
0,2,0,27,538,0,1090,52,0,32,0,0,2025-05-13T09:00:00.000Z
0,2,0,24,531,0,1109,50,0,33,0,0,2025-05-13T10:00:00.000Z
0,1,0,20,511,0,1187,48,0,37,0,0,2025-05-13T11:00:00.000Z
0,1,0,13,496,4,1384,39,0,34,0,0,2025-05-13T12:00:00.000Z
0,2,0,24,516,13,1515,54,0,34,0,0,2025-05-13T13:00:00.000Z
3,3,0,26,518,186,1382,72,0,34,0,0,2025-05-13T14:00:00.000Z
6,4,1,21,483,347,1206,81,0,34,0,0,2025-05-13T15:00:00.000Z
6,4,1,22,488,399,1105,77,0,34,0,0,2025-05-13T16:00:00.000Z
6,4,1,17,486,413,1057,75,0,33,0,0,2025-05-13T17:00:00.000Z
6,4,1,16,489,421,1029,71,0,33,0,0,2025-05-13T18:00:00.000Z
7,4,1,18,509,431,1003,74,0,33,0,0,2025-05-13T19:00:00.000Z
7,4,1,16,516,419,1037,71,0,33,0,0,2025-05-13T20:00:00.000Z
7,4,1,18,524,404,1046,75,0,35,0,0,2025-05-13T21:00:00.000Z
6,4,1,19,555,382,1071,77,0,35,0,0,2025-05-13T22:00:00.000Z
5,3,1,21,588,343,1134,82,0,37,0,0,2025-05-13T23:00:00.000Z
0,0,0,31,544,193,1115,21,3,33,0,0,2025-05-14T00:00:00.000Z
0,0,0,29,545,111,1243,23,3,30,0,0,2025-05-14T01:00:00.000Z
0,0,0,31,567,2,1381,25,3,30,0,0,2025-05-14T02:00:00.000Z
0,0,0,35,603,1,1392,26,4,30,0,0,2025-05-14T03:00:00.000Z
0,0,0,38,600,0,1320,28,4,30,0,0,2025-05-14T04:00:00.000Z
0,0,0,32,562,0,1198,24,3,28,0,0,2025-05-14T05:00:00.000Z
0,0,0,29,538,0,1076,21,3,28,0,0,2025-05-14T06:00:00.000Z
0,0,0,25,525,0,1020,18,3,26,0,0,2025-05-14T07:00:00.000Z
0,0,0,24,517,0,976,17,3,27,0,0,2025-05-14T08:00:00.000Z
0,0,0,25,521,0,949,17,3,27,0,0,2025-05-14T09:00:00.000Z
0,0,0,26,520,0,960,17,3,27,0,0,2025-05-14T10:00:00.000Z
0,0,0,26,524,0,1034,19,3,31,0,0,2025-05-14T11:00:00.000Z
0,0,0,26,526,1,1214,19,3,29,0,0,2025-05-14T12:00:00.000Z
0,0,0,31,553,3,1376,20,3,30,0,0,2025-05-14T13:00:00.000Z
0,1,0,32,548,105,1314,21,3,29,0,0,2025-05-14T14:00:00.000Z
0,0,0,32,524,207,1213,17,3,29,0,0,2025-05-14T15:00:00.000Z
