nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
2075,0,11,9090,7771,390,1639,12015,1,93,0,1,2025-05-12T00:00:00.000Z
2009,0,11,8888,8886,59,1512,10891,1,111,0,0,2025-05-12T01:00:00.000Z
1993,0,11,7905,11024,0,1224,9513,1,61,0,0,2025-05-12T02:00:00.000Z
1982,0,11,7070,12894,0,851,7137,1,27,0,0,2025-05-12T03:00:00.000Z
1996,0,11,6106,13019,0,824,5986,1,25,0,0,2025-05-12T04:00:00.000Z
1950,0,11,5138,13298,0,708,5313,1,22,0,0,2025-05-12T05:00:00.000Z
1966,0,11,4770,12907,0,712,5225,1,22,0,0,2025-05-12T06:00:00.000Z
2030,0,11,4826,12568,0,731,5018,1,24,0,0,2025-05-12T07:00:00.000Z
2041,0,11,5101,12157,0,830,4938,1,33,0,0,2025-05-12T08:00:00.000Z
2020,0,12,5626,11514,0,789,5272,1,30,0,0,2025-05-12T09:00:00.000Z
2030,0,12,6232,11205,0,813,5731,1,28,0,0,2025-05-12T10:00:00.000Z
1982,0,12,6620,11078,21,1397,6401,1,25,0,0,2025-05-12T11:00:00.000Z
2016,0,12,6839,11551,151,1421,6782,1,24,0,0,2025-05-12T12:00:00.000Z
2070,0,13,7491,10584,507,1522,7987,1,27,0,0,2025-05-12T13:00:00.000Z
2063,0,13,8453,9189,600,1682,8866,1,32,0,0,2025-05-12T14:00:00.000Z
2031,0,12,8687,10255,666,1657,8473,1,28,0,0,2025-05-12T15:00:00.000Z
1994,0,12,8834,10935,631,1616,8696,1,31,0,0,2025-05-12T16:00:00.000Z
2013,0,12,8952,11397,639,1666,8943,1,29,0,0,2025-05-12T17:00:00.000Z
2034,0,13,9082,11665,656,1733,9618,1,27,0,0,2025-05-12T18:00:00.000Z
2036,0,13,9008,11480,654,1811,10862,1,31,0,0,2025-05-12T19:00:00.000Z
2055,0,13,8838,12034,691,1834,11388,1,74,0,0,2025-05-12T20:00:00.000Z
2055,0,13,8835,12613,691,1817,11679,1,177,0,0,2025-05-12T21:00:00.000Z
2044,0,13,8852,12600,655,1837,11666,1,177,0,0,2025-05-12T22:00:00.000Z
2046,0,14,8932,11909,556,1845,12245,0,177,0,0,2025-05-12T23:00:00.000Z
1963,0,12,8954,12229,279,1918,11985,1,188,0,0,2025-05-13T00:00:00.000Z
1947,0,12,8644,13012,25,1690,10535,1,154,0,0,2025-05-13T01:00:00.000Z
1944,0,12,7829,15976,0,1380,7470,1,156,0,0,2025-05-13T02:00:00.000Z
1929,0,12,6409,17609,0,1044,5412,1,156,0,0,2025-05-13T03:00:00.000Z
1907,0,12,5342,17506,0,929,4542,1,37,0,0,2025-05-13T04:00:00.000Z
1902,0,12,4310,17340,0,879,4063,1,22,0,0,2025-05-13T05:00:00.000Z
1878,0,12,3654,17253,0,744,4052,1,27,0,0,2025-05-13T06:00:00.000Z
1847,0,12,3390,16900,0,710,3957,1,27,0,0,2025-05-13T07:00:00.000Z
